Agency Name,State,NCES Agency ID,Total Operational Public Schools 2021-2022,Total Public Schools 2021-2022,Total Students 2021-2022,FTE Teachers 2021-2022,Total Staff 2021-2022,District #,Grade 3 2021-2022,Grade 4 2021-2022,Grade 5 2021-2022,Grade 6 2021-2022,Grade 7 2021-2022,Grade 8 2021-2022,Grades 1-8 2021-2022,Grades 9-12 2021-2022,Prek 2021-2022,K 2021-2022,Grade 1 2021-2022,Grade 2 2021-2022,Grade 9 2021-2022,Grade 10 2021-2022,Grade 11 2021-2022,Grade 12 2021-2022,Asian or Asian/Pacific Islander Students 2021-2022,Hispanic Students 2021-2022,Black or African American Students 2021-2022,White Students 2021-2022,Total Race/Ethnicity 2021-2022,Free or Reduced Lunch 2021-2022,School-wide Title I 2021-2022,Title I Eligible School 2021-2022
A W BROWN LEADERSHIP ACADEMY,Texas,4800095.0,2.0,2.0,1067.0,70.87,145.29,057816,88.0,83.0,75.0,55.0,57.0,56.0,684.0,,236.0,147.0,152.0,118.0,,,,,5.0,45.0,989.0,2.0,1067.0,916.0,2,2
A+ ACADEMY,Texas,4800203.0,2.0,2.0,1551.0,82.37,214.74,057829,91.0,96.0,92.0,147.0,147.0,122.0,893.0,425.0,141.0,92.0,106.0,92.0,120.0,108.0,97.0,100.0,6.0,1455.0,51.0,30.0,1551.0,1438.0,2,2
A+ UNLIMITED POTENTIAL,TEXAS,4801453.0,1.0,1.0,145.0,8.88,16.76,101871,,,,44.0,55.0,46.0,145.0,,,,,,,,,,3.0,63.0,66.0,11.0,145.0,109.0,1,1
ABBOTT ISD,Texas,4807380.0,1.0,2.0,283.0,23.56,41.65,109901,19.0,20.0,23.0,22.0,22.0,15.0,166.0,82.0,15.0,20.0,19.0,26.0,20.0,17.0,19.0,26.0,0.0,40.0,4.0,234.0,283.0,70.0,1,1
ABERNATHY ISD,Texas,4807410.0,4.0,4.0,825.0,71.96,126.91,095901,57.0,49.0,55.0,60.0,57.0,58.0,455.0,255.0,40.0,75.0,62.0,57.0,72.0,62.0,64.0,57.0,1.0,431.0,14.0,368.0,825.0,424.0,3,3
ABILENE ISD,Texas,4807440.0,29.0,29.0,15426.0,1078.47,2489.83,221901,1091.0,1106.0,1131.0,1082.0,1067.0,1150.0,8916.0,4337.0,994.0,1179.0,1179.0,1110.0,1363.0,1020.0,1016.0,938.0,186.0,7201.0,1929.0,5364.0,15426.0,9954.0,20,20
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093.0,4.0,4.0,297.0,51.0,86.0,057814,,,1.0,2.0,12.0,27.0,42.0,255.0,,,,,133.0,81.0,37.0,4.0,2.0,129.0,142.0,17.0,297.0,297.0,4,4
ACADEMY ISD,Texas,4807470.0,5.0,6.0,1759.0,128.9,250.77,014901,131.0,130.0,127.0,126.0,148.0,141.0,1076.0,495.0,46.0,142.0,140.0,133.0,138.0,133.0,114.0,110.0,20.0,411.0,109.0,1121.0,1759.0,637.0,4,4
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032.0,1.0,1.0,,44.59,74.8,101810,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,1,1
ACADEMY OF DALLAS,Texas,4800090.0,1.0,1.0,245.0,17.52,35.63,057810,12.0,16.0,15.0,20.0,20.0,30.0,158.0,,59.0,28.0,26.0,19.0,,,,,0.0,46.0,193.0,0.0,245.0,243.0,1,1
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192.0,3.0,4.0,214.0,12.01,16.01,101849,20.0,33.0,25.0,18.0,15.0,,174.0,,25.0,15.0,25.0,38.0,,,,,0.0,106.0,104.0,3.0,214.0,201.0,1,1
ADRIAN ISD,Texas,4807500.0,1.0,1.0,113.0,18.27,32.48,180903,7.0,5.0,6.0,10.0,10.0,13.0,65.0,40.0,3.0,5.0,8.0,6.0,11.0,9.0,12.0,8.0,0.0,65.0,0.0,47.0,113.0,72.0,1,1
ADVANTAGE ACADEMY,Texas,4800041.0,1.0,1.0,1138.0,61.13,126.13,057806,96.0,79.0,78.0,108.0,112.0,121.0,789.0,161.0,83.0,105.0,99.0,96.0,70.0,43.0,28.0,20.0,14.0,619.0,389.0,99.0,1138.0,967.0,1,1
AGUA DULCE ISD,Texas,4807530.0,2.0,2.0,400.0,33.82,64.67,178901,24.0,29.0,27.0,28.0,33.0,44.0,238.0,117.0,13.0,32.0,23.0,30.0,41.0,14.0,32.0,30.0,0.0,298.0,4.0,97.0,400.0,310.0,2,2
ALAMO HEIGHTS ISD,Texas,4807590.0,5.0,6.0,4824.0,354.54,633.66,015901,335.0,347.0,351.0,360.0,363.0,376.0,2765.0,1650.0,105.0,304.0,325.0,308.0,417.0,413.0,426.0,394.0,146.0,1916.0,108.0,2524.0,4824.0,935.0,0,3
ALBA-GOLDEN ISD,Texas,4807650.0,3.0,3.0,861.0,80.88,145.88,250906,71.0,61.0,68.0,59.0,76.0,65.0,512.0,232.0,51.0,66.0,56.0,56.0,73.0,62.0,48.0,49.0,1.0,95.0,4.0,733.0,861.0,413.0,2,2
ALBANY ISD,Texas,4807680.0,2.0,2.0,510.0,42.08,81.97,209901,40.0,36.0,32.0,32.0,41.0,43.0,290.0,158.0,28.0,34.0,28.0,38.0,47.0,44.0,33.0,34.0,3.0,89.0,10.0,388.0,510.0,206.0,2,2
ALDINE ISD,Texas,4807710.0,80.0,82.0,61633.0,3990.7,8900.8,101902,4285.0,4344.0,4459.0,4490.0,4835.0,4815.0,35897.0,18335.0,3435.0,3966.0,4450.0,4219.0,5748.0,4461.0,4191.0,3935.0,603.0,45574.0,13267.0,1215.0,61633.0,55374.0,75,75
ALEDO ISD,Texas,4807780.0,10.0,12.0,7368.0,446.67,780.83,184907,564.0,578.0,576.0,567.0,571.0,571.0,4575.0,2099.0,99.0,595.0,581.0,567.0,587.0,504.0,538.0,470.0,68.0,1269.0,118.0,5580.0,7368.0,975.0,2,7
ALICE ISD,Texas,4807800.0,6.0,7.0,4369.0,296.77,715.73,125901,331.0,306.0,306.0,313.0,369.0,332.0,2606.0,1295.0,164.0,304.0,335.0,314.0,438.0,324.0,287.0,246.0,14.0,4025.0,19.0,295.0,4369.0,3697.0,5,5
ALIEF ISD,Texas,4807830.0,46.0,48.0,40664.0,3172.3,6309.21,101903,3047.0,2918.0,2867.0,2732.0,2983.0,2882.0,23600.0,12235.0,1981.0,2848.0,3121.0,3050.0,4007.0,3073.0,2827.0,2328.0,4096.0,23909.0,10850.0,1337.0,40664.0,33842.0,41,41
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035.0,1.0,1.0,349.0,19.15,44.8,101815,26.0,22.0,24.0,23.0,15.0,6.0,189.0,,98.0,62.0,41.0,32.0,,,,,124.0,149.0,54.0,12.0,349.0,279.0,1,1
ALLEN ISD,Texas,4807890.0,25.0,25.0,21463.0,1347.74,2506.25,043901,1542.0,1564.0,1577.0,1604.0,1713.0,1734.0,12655.0,7100.0,308.0,1400.0,1419.0,1502.0,1818.0,1939.0,1730.0,1613.0,5226.0,3249.0,2789.0,8807.0,21463.0,3598.0,3,9
ALPINE ISD,Texas,4807950.0,3.0,3.0,974.0,81.82,171.79,022901,54.0,61.0,61.0,73.0,67.0,77.0,517.0,314.0,84.0,59.0,58.0,66.0,77.0,90.0,63.0,84.0,12.0,611.0,11.0,329.0,974.0,559.0,3,3
ALTO ISD,Texas,4807980.0,3.0,3.0,556.0,53.15,100.23,037901,35.0,40.0,38.0,44.0,49.0,35.0,325.0,163.0,31.0,37.0,42.0,42.0,39.0,42.0,51.0,31.0,3.0,210.0,117.0,188.0,556.0,418.0,3,3
ALVARADO ISD,Texas,4800011.0,7.0,7.0,3610.0,239.37,463.38,126901,242.0,249.0,238.0,252.0,279.0,300.0,2064.0,1177.0,129.0,240.0,249.0,255.0,314.0,298.0,280.0,285.0,7.0,1644.0,91.0,1738.0,3610.0,2094.0,6,6
ALVIN ISD,Texas,4808090.0,33.0,36.0,28085.0,1874.69,3594.19,020901,1981.0,2043.0,2043.0,2184.0,2231.0,2327.0,16889.0,8460.0,798.0,1938.0,2029.0,2051.0,2410.0,2217.0,1996.0,1837.0,2669.0,11529.0,6788.0,6153.0,28085.0,14341.0,23,25
ALVORD ISD,Texas,4808100.0,3.0,3.0,789.0,61.96,119.97,249901,47.0,64.0,55.0,58.0,66.0,65.0,473.0,223.0,29.0,64.0,60.0,58.0,55.0,61.0,51.0,56.0,0.0,104.0,1.0,671.0,789.0,331.0,1,2
AMARILLO ISD,Texas,4808130.0,55.0,55.0,30866.0,2224.57,4403.48,188901,2278.0,2206.0,2283.0,2272.0,2345.0,2370.0,18337.0,8509.0,1791.0,2229.0,2264.0,2319.0,2567.0,2000.0,2020.0,1922.0,1551.0,14289.0,3247.0,10682.0,30866.0,20693.0,45,47
