,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
0,A W BROWN LEADERSHIP ACADEMY,48113.0,57816,115.6,218.4,2084.0,76.79,170.87,1383.0
1,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
2,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
3,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
4,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
5,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
6,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
7,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
8,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
9,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
10,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
11,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
12,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
13,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
14,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
15,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
16,A+ ACADEMY,48113.0,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
17,A+ UNLIMITED POTENTIAL,48201.0,101871,7.67,10.34,180.0,6.91,13.61,152.0
18,ABBOTT ISD,48217.0,109901,24.25,40.0,277.0,25.13,41.72,274.0
19,ABERNATHY ISD,48189.0,95901,68.0,124.97,780.0,72.55,124.29,810.0
20,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
21,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
22,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
23,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
24,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
25,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
26,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
27,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
28,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
29,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
30,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
31,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
32,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
33,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
34,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
35,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
36,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
37,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
38,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
39,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
40,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
41,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
42,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
43,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
44,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
45,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
46,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
47,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
48,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
49,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
50,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
51,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
52,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
53,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
54,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
55,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
56,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
57,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
58,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
59,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
60,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
61,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
62,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
63,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
64,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
65,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
66,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
67,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
68,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
69,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
70,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
71,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
72,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
73,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
74,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
75,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
76,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
77,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
78,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
79,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
80,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
81,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
82,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
83,ABILENE ISD,48441.0,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
84,ACADEMY FOR ACADEMIC EXCELLENCE,48113.0,57814,54.96,93.57,505.0,56.0,95.0,308.0
85,ACADEMY ISD,48027.0,14901,113.6,214.33,1652.0,125.91,250.28,1726.0
86,ACADEMY ISD,48027.0,14901,113.6,214.33,1652.0,125.91,250.28,1726.0
87,ACADEMY OF ACCELERATED LEARNING INC,48201.0,101810,40.41,66.59,742.0,46.65,74.01,851.0
88,ACADEMY OF DALLAS,48113.0,57810,27.08,57.34,487.0,21.85,39.35,341.0
89,ACCELERATED INTERMEDIATE ACADEMY,48201.0,101849,19.0,24.0,248.0,14.99,18.99,235.0
90,ADRIAN ISD,48359.0,180903,18.15,30.97,117.0,17.22,32.48,122.0
91,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
92,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
93,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
94,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
95,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
96,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
97,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
98,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
99,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
100,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
101,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
102,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
103,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
104,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
105,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
106,ADVANTAGE ACADEMY,48113.0,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
107,AGUA DULCE ISD,48355.0,178901,32.95,56.0,346.0,33.5,63.47,406.0
108,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
109,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
110,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
111,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
112,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
113,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
114,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
115,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
116,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
117,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
118,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
119,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
120,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
121,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
122,ALAMO HEIGHTS ISD,48029.0,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
