County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
DALLAS COUNTY,A W BROWN LEADERSHIP ACADEMY,48113,57816,115.6,218.4,2084.0,76.79,170.87,1383.0
DALLAS COUNTY,A+ ACADEMY,48113,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
HARRIS COUNTY,A+ UNLIMITED POTENTIAL,48201,101871,7.67,10.34,180.0,6.91,13.61,152.0
HILL COUNTY,ABBOTT ISD,48217,109901,24.25,40.0,277.0,25.13,41.72,274.0
HALE COUNTY,ABERNATHY ISD,48189,95901,68.0,124.97,780.0,72.55,124.29,810.0
TAYLOR COUNTY,ABILENE ISD,48441,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
DALLAS COUNTY,ACADEMY FOR ACADEMIC EXCELLENCE,48113,57814,54.96,93.57,505.0,56.0,95.0,308.0
BELL COUNTY,ACADEMY ISD,48027,14901,113.6,214.33,1652.0,125.91,250.28,1726.0
HARRIS COUNTY,ACADEMY OF ACCELERATED LEARNING INC,48201,101810,40.41,66.59,742.0,46.65,74.01,851.0
DALLAS COUNTY,ACADEMY OF DALLAS,48113,57810,27.08,57.34,487.0,21.85,39.35,341.0
HARRIS COUNTY,ACCELERATED INTERMEDIATE ACADEMY,48201,101849,19.0,24.0,248.0,14.99,18.99,235.0
OLDHAM COUNTY,ADRIAN ISD,48359,180903,18.15,30.97,117.0,17.22,32.48,122.0
DALLAS COUNTY,ADVANTAGE ACADEMY,48113,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
NUECES COUNTY,AGUA DULCE ISD,48355,178901,32.95,56.0,346.0,33.5,63.47,406.0
BEXAR COUNTY,ALAMO HEIGHTS ISD,48029,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
WOOD COUNTY,ALBA-GOLDEN ISD,48499,250906,79.4,140.64,900.0,82.71,146.34,861.0
SHACKELFORD COUNTY,ALBANY ISD,48417,209901,44.85,83.41,495.0,43.22,77.97,503.0
HARRIS COUNTY,ALDINE ISD,48201,101902,4128.18,9075.37,66854.0,4243.82,9204.84,63302.0
PARKER COUNTY,ALEDO ISD,48367,184907,354.71,655.06,6129.0,407.3,719.74,6723.0
JIM WELLS COUNTY,ALICE ISD,48249,125901,302.04,717.53,4940.0,307.11,727.45,4676.0
HARRIS COUNTY,ALIEF ISD,48201,101903,3259.99,6350.39,45436.0,3276.07,6461.03,41724.0
HARRIS COUNTY,ALIEF MONTESSORI COMMUNITY SCHOOL,48201,101815,14.95,36.27,305.0,16.76,38.82,331.0
COLLIN COUNTY,ALLEN ISD,48085,43901,1350.86,2469.23,21557.0,1370.19,2560.63,21617.0
BREWSTER COUNTY,ALPINE ISD,48043,22901,87.13,184.74,1014.0,77.14,171.19,974.0
CHEROKEE COUNTY,ALTO ISD,48073,37901,58.27,101.22,664.0,57.76,104.11,609.0
JOHNSON COUNTY,ALVARADO ISD,48251,126901,228.93,446.09,3635.0,238.66,467.67,3565.0
BRAZORIA COUNTY,ALVIN ISD,48039,20901,1700.43,3424.87,25945.0,1824.85,3555.68,27006.0
WISE COUNTY,ALVORD ISD,48497,249901,57.44,111.68,727.0,61.95,115.73,709.0
POTTER COUNTY,AMARILLO ISD,48375,188901,2193.75,4163.42,32829.0,2213.46,4206.25,31388.0
GALVESTON COUNTY,AMBASSADORS PREPARATORY ACADEMY,48167,84804,20.67,45.84,323.0,22.81,50.06,246.0
LAMB COUNTY,AMHERST ISD,48279,140901,18.99,30.94,142.0,19.0,32.11,133.0
HARRIS COUNTY,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,48201,101819,24.88,50.96,494.0,30.81,56.28,502.0
CHAMBERS COUNTY,ANAHUAC ISD,48071,36901,95.71,186.96,1325.0,98.97,193.87,1326.0
GRIMES COUNTY,ANDERSON-SHIRO CISD,48185,93901,67.69,124.44,879.0,71.85,130.41,887.0
ANDREWS COUNTY,ANDREWS ISD,48003,2901,264.19,508.27,4319.0,287.18,559.88,4128.0
BRAZORIA COUNTY,ANGLETON ISD,48039,20902,400.16,864.18,6767.0,440.01,983.72,6863.0
COLLIN COUNTY,ANNA ISD,48085,43902,246.18,482.93,3597.0,282.3,574.71,3979.0
JONES COUNTY,ANSON ISD,48253,127901,68.96,123.1,749.0,72.0,124.46,708.0
EL PASO COUNTY,ANTHONY ISD,48141,71906,57.82,127.46,843.0,60.01,148.22,787.0
HOCKLEY COUNTY,ANTON ISD,48219,110901,19.75,34.21,199.0,21.46,36.27,184.0
TRINITY COUNTY,APPLE SPRINGS ISD,48455,228905,18.42,35.6,202.0,19.17,38.87,206.0
HILL COUNTY,AQUILLA ISD,48217,109912,25.87,49.84,335.0,27.72,49.27,319.0
ARANSAS COUNTY,ARANSAS COUNTY ISD,48007,4901,214.93,467.53,2829.0,217.46,452.82,3010.0
SAN PATRICIO COUNTY,ARANSAS PASS ISD,48409,205901,113.56,263.43,1556.0,109.9,257.11,1645.0
ARCHER COUNTY,ARCHER CITY ISD,48009,5901,44.94,88.18,505.0,47.85,93.02,502.0
DENTON COUNTY,ARGYLE ISD,48121,61910,196.71,351.9,3061.0,258.87,444.1,3795.0
HARRIS COUNTY,ARISTOI CLASSICAL ACADEMY,48201,101803,60.88,96.97,911.0,72.69,120.76,1072.0
TARRANT COUNTY,ARLINGTON CLASSICS ACADEMY,48439,220802,92.38,144.66,1550.0,91.5,149.85,1542.0
TARRANT COUNTY,ARLINGTON ISD,48439,220901,4100.64,8211.83,59900.0,4114.71,8169.15,56840.0
SMITH COUNTY,ARP ISD,48423,212901,75.45,145.16,869.0,77.22,151.85,876.0
BRAZOS COUNTY,ARROW ACADEMY,48041,21805,46.01,76.17,706.0,44.04,75.21,691.0
STONEWALL COUNTY,ASPERMONT ISD,48433,217901,19.44,39.86,224.0,20.22,39.99,213.0
HENDERSON COUNTY,ATHENS ISD,48213,107901,193.45,395.04,3011.0,194.16,418.13,2982.0
CASS COUNTY,ATLANTA ISD,48067,34901,132.55,311.58,1725.0,132.59,329.71,1848.0
DENTON COUNTY,AUBREY ISD,48121,61907,158.1,257.02,2442.0,172.24,300.39,2644.0
TRAVIS COUNTY,AUSTIN ACHIEVE PUBLIC SCHOOLS,48453,227825,97.83,180.45,1556.0,132.24,285.18,2183.0
TRAVIS COUNTY,AUSTIN DISCOVERY SCHOOL,48453,227821,48.5,64.63,508.0,42.77,56.62,433.0
TRAVIS COUNTY,AUSTIN ISD,48453,227901,5539.62,11104.58,80032.0,5508.22,10945.22,74871.0
REFUGIO COUNTY,AUSTWELL-TIVOLI ISD,48391,196901,17.23,29.79,140.0,20.17,38.31,137.0
ELLIS COUNTY,AVALON ISD,48139,70901,32.26,58.3,362.0,28.74,55.86,332.0
RED RIVER COUNTY,AVERY ISD,48387,194902,32.3,62.42,340.0,33.49,67.93,322.0
CASS COUNTY,AVINGER ISD,48067,34902,17.24,27.87,153.0,17.65,28.38,140.0
MARION COUNTY,AXTELL ISD,48309,161918,76.35,156.24,825.0,75.5,143.22,772.0
TARRANT COUNTY,AZLE ISD,48439,220915,414.76,857.18,6578.0,446.28,870.1,6685.0
CALLAHAN COUNTY,BAIRD ISD,48059,30903,34.39,58.59,283.0,30.12,57.62,281.0
RUNNELS COUNTY,BALLINGER ISD,48399,200901,77.54,150.17,906.0,79.18,157.42,854.0
REEVES COUNTY,BALMORHEA ISD,48389,195902,19.54,39.58,186.0,19.12,38.88,155.0
BANDERA COUNTY,BANDERA ISD,48019,10902,148.28,291.49,2234.0,148.57,304.44,2218.0
BROWN COUNTY,BANGS ISD,48049,25901,76.48,146.22,902.0,70.61,135.44,837.0
NUECES COUNTY,BANQUETE ISD,48355,178913,80.59,156.77,876.0,81.47,140.44,855.0
CHAMBERS COUNTY,BARBERS HILL ISD,48071,36902,396.17,811.31,5732.0,477.19,969.85,6424.0
BELL COUNTY,BARTLETT ISD,48027,14902,25.46,58.46,343.0,32.34,63.18,380.0
BEXAR COUNTY,BASIS TEXAS,48029,15834,142.46,143.46,2597.0,192.83,235.0,3048.0
BASTROP COUNTY,BASTROP ISD,48021,11901,697.59,1158.47,11081.0,735.75,1291.1,11405.0
MCLENNAN COUNTY,BAY CITY ISD,48321,158901,237.06,536.59,3670.0,239.72,560.62,3536.0
HARRIS COUNTY,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,48201,101847,32.0,48.09,462.0,31.87,46.87,470.0
JEFFERSON COUNTY,BEAUMONT ISD,48245,123910,1134.75,2349.54,18470.0,1139.63,2393.3,17128.0
PANOLA COUNTY,BECKVILLE ISD,48365,183901,63.74,102.71,700.0,67.72,107.44,673.0
BEE COUNTY,BEEVILLE ISD,48025,13901,201.86,447.65,3330.0,201.7,461.69,3157.0
CLAY COUNTY,BELLEVUE ISD,48077,39904,16.75,30.68,130.0,16.37,31.89,145.0
GRAYSON COUNTY,BELLS ISD,48181,91901,70.23,119.32,895.0,70.22,122.54,868.0
AUSTIN COUNTY,BELLVILLE ISD,48015,8901,163.73,354.74,2238.0,171.88,343.85,2196.0
BELL COUNTY,BELTON ISD,48027,14903,750.06,1589.25,11885.0,868.14,1873.34,12609.0
JIM WELLS COUNTY,BEN BOLT-PALITO BLANCO ISD,48249,125902,44.0,74.0,515.0,40.65,76.6,521.0
DUVAL COUNTY,BENAVIDES ISD,48131,66901,27.03,58.04,319.0,25.65,54.37,255.0
KNOX COUNTY,BENJAMIN ISD,48275,138904,15.33,23.57,118.0,14.83,23.91,131.0
HARRIS COUNTY,BETA ACADEMY,48201,101870,31.87,67.13,655.0,63.73,135.89,1205.0
BEXAR COUNTY,BEXAR COUNTY ACADEMY,48029,15809,29.14,52.41,349.0,29.55,58.54,274.0
UPSHUR COUNTY,BIG SANDY ISD,48459,230901,69.3,179.89,708.0,62.45,119.33,643.0
HOWARD COUNTY,BIG SPRING ISD,48227,114901,257.55,540.58,4035.0,268.91,566.4,3698.0
REAL COUNTY,BIG SPRINGS CHARTER SCHOOL,48385,193801,21.73,59.22,227.0,21.91,49.14,235.0
TARRANT COUNTY,BIRDVILLE ISD,48439,220902,1540.33,3002.47,23614.0,1548.05,3019.96,22736.0
NUECES COUNTY,BISHOP CISD,48355,178902,105.12,183.1,1524.0,110.24,197.33,1556.0
NOLAN COUNTY,BLACKWELL CISD,48353,177903,22.1,42.37,152.0,22.18,42.62,168.0
BLANCO COUNTY,BLANCO ISD,48031,16902,77.82,149.87,1011.0,80.78,154.37,1011.0
HUNT COUNTY,BLAND ISD,48231,116915,54.53,105.06,721.0,62.01,115.84,724.0
