ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,State Agency ID [Public School] 2021-22,State Agency ID [Public School] 2020-21,State Agency ID [Public School] 2018-19,Virtual School Status (SY 2016-17 onward) [Public School] 2021-22,School-wide Title I [Public School] 2021-22,Title I Eligible School [Public School] 2021-22,Title I School Status [Public School] 2021-22,Free Lunch Eligible [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Total Race/Ethnicity [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,TX-108913,TX-108913,TX-108913,–,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,424,5,="0",="0",429,="0",="0",="0",="0",429,429
2ND H S IN THE DISTRICT,TEXAS,TX-152906,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
3D ACADEMY,Texas,TX-108902,TX-108902,TX-108902,–,1-Yes,1-Yes,5-Title I schoolwide school,160,="0",="0",="0",168,="0",="0",="0",="0",168,160
3RD H S,Texas,TX-043914,TX-043914,TX-043914,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
7TH H S - NORTHEAST,Texas,TX-246909,TX-246909,TX-246909,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A & M CONS H S,Texas,TX-021901,TX-021901,TX-021901,–,†,2-No,6-Not a Title I school,578,96,5,125,528,299,1063,6,65,2091,674
A & M CONSOLIDATED MIDDLE,Texas,TX-021901,TX-021901,TX-021901,–,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,302,42,1,21,187,130,339,="0",29,707,344
A B DUNCAN COLLEGIATE EL,Texas,TX-077901,TX-077901,TX-077901,–,1-Yes,1-Yes,5-Title I schoolwide school,270,8,="0",1,254,14,55,1,3,328,278
A B MCBAY EL,Texas,TX-147903,TX-147903,TX-147903,–,1-Yes,1-Yes,5-Title I schoolwide school,453,18,="0",2,292,125,92,3,25,539,471
A C BLUNT MIDDLE,Texas,TX-205901,TX-205901,TX-205901,–,1-Yes,1-Yes,5-Title I schoolwide school,277,1,2,1,216,14,128,="0",7,368,278
A C JONES H S,Texas,TX-013901,TX-013901,TX-013901,–,1-Yes,1-Yes,5-Title I schoolwide school,814,="0",3,2,794,22,139,="0",10,970,814
A C JONES HEALTH PROFESSIONS MAGNET ACADEMY,TEXAS,†,TX-013901,TX-013901,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A E BUTLER INT,Texas,TX-116908,TX-116908,TX-116908,–,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,409,35,4,="0",196,4,358,2,14,578,444
A G ELDER EL,Texas,TX-126905,TX-126905,TX-126905,–,1-Yes,1-Yes,5-Title I schoolwide school,380,17,8,2,269,9,323,3,14,628,397
A LEAL JR MIDDLE,Texas,TX-015904,TX-015904,TX-015904,–,1-Yes,1-Yes,5-Title I schoolwide school,643,="0",="0",="0",671,3,6,="0",1,681,643
A M OCHOA EL,Texas,TX-108902,TX-108902,TX-108902,–,1-Yes,1-Yes,5-Title I schoolwide school,285,2,="0",="0",298,="0",2,="0",="0",300,287
A M PATE EL,Texas,TX-220905,TX-220905,TX-220905,–,1-Yes,1-Yes,5-Title I schoolwide school,357,="0",="0",1,107,239,5,2,7,361,357
A N RICO EL,Texas,TX-108913,TX-108913,TX-108913,–,1-Yes,1-Yes,5-Title I schoolwide school,613,19,="0",="0",689,="0",5,2,="0",696,632
A P BEUTEL EL,Texas,TX-020905,TX-020905,TX-020905,–,1-Yes,1-Yes,5-Title I schoolwide school,309,47,2,6,245,18,278,="0",17,566,356
A P SOLIS MIDDLE,TEXAS,TX-108902,TX-108902,TX-108902,–,1-Yes,1-Yes,5-Title I schoolwide school,674,3,="0",="0",726,="0",6,="0",="0",732,677
A V CATO EL,Texas,TX-220917,TX-220917,TX-220917,–,1-Yes,1-Yes,5-Title I schoolwide school,504,11,1,="0",478,8,85,="0",6,578,515
A+ ACADEMY EL,Texas,TX-057829,TX-057829,TX-057829,–,1-Yes,1-Yes,5-Title I schoolwide school,657,122,="0",5,796,33,17,="0",6,857,779
A+ SECONDARY SCHOOL,TEXAS,TX-057829,TX-057829,TX-057829,–,1-Yes,1-Yes,5-Title I schoolwide school,601,58,="0",1,659,18,13,="0",3,694,659
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,†,†,TX-101871,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,TX-101871,TX-101871,TX-101871,–,1-Yes,1-Yes,5-Title I schoolwide school,109,="0",="0",3,63,66,11,="0",2,145,109
AARON PARKER EL,Texas,TX-139911,TX-139911,TX-139911,–,1-Yes,1-Yes,5-Title I schoolwide school,138,12,11,1,12,10,178,="0",25,237,150
AB HARRISON INT,Texas,TX-043914,TX-043914,TX-043914,–,†,2-No,6-Not a Title I school,284,13,4,72,239,152,497,="0",43,1007,297
ABBETT EL,Texas,TX-057909,TX-057909,TX-057909,–,1-Yes,1-Yes,5-Title I schoolwide school,371,26,3,106,251,114,166,3,34,677,397
ABBOTT SCHOOL,Texas,TX-109901,TX-109901,TX-109901,–,1-Yes,1-Yes,5-Title I schoolwide school,66,4,="0",="0",40,4,234,="0",5,283,70
ABELL J H,Texas,TX-165901,TX-165901,TX-165901,–,1-Yes,1-Yes,5-Title I schoolwide school,450,10,1,30,667,88,299,1,23,1109,460
ABERNATHY DAEP,Texas,TX-095901,TX-095901,TX-095901,–,†,2-No,6-Not a Title I school,‡,‡,="0",="0",1,="0",="0",="0",="0",1,‡
ABERNATHY EL,Texas,TX-095901,TX-095901,TX-095901,–,1-Yes,1-Yes,5-Title I schoolwide school,210,5,="0",="0",207,9,174,="0",5,395,215
ABERNATHY H S,Texas,TX-095901,TX-095901,TX-095901,–,1-Yes,1-Yes,5-Title I schoolwide school,117,2,="0",="0",125,3,124,="0",3,255,119
