ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,2,2,TX-057816,1067,70.87,145.29
A+ ACADEMY,Texas,4800203,2,2,TX-057829,1551,82.37,214.74
A+ UNLIMITED POTENTIAL,TEXAS,4801453,1,1,TX-101871,145,8.88,16.76
ABBOTT ISD,Texas,4807380,1,2,TX-109901,283,23.56,41.65
ABERNATHY ISD,Texas,4807410,4,4,TX-095901,825,71.96,126.91
ABILENE ISD,Texas,4807440,29,29,TX-221901,15426,1078.47,2489.83
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,4,4,TX-057814,297,51.00,86.00
ACADEMY ISD,Texas,4807470,5,6,TX-014901,1759,128.90,250.77
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,1,1,TX-101810,‡,44.59,74.80
ACADEMY OF DALLAS,Texas,4800090,1,1,TX-057810,245,17.52,35.63
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192,3,4,TX-101849,214,12.01,16.01
ADRIAN ISD,Texas,4807500,1,1,TX-180903,113,18.27,32.48
ADVANTAGE ACADEMY,Texas,4800041,1,1,TX-057806,1138,61.13,126.13
AGUA DULCE ISD,Texas,4807530,2,2,TX-178901,400,33.82,64.67
ALAMO HEIGHTS ISD,Texas,4807590,5,6,TX-015901,4824,354.54,633.66
ALBA-GOLDEN ISD,Texas,4807650,3,3,TX-250906,861,80.88,145.88
ALBANY ISD,Texas,4807680,2,2,TX-209901,510,42.08,81.97
ALDINE ISD,Texas,4807710,80,82,TX-101902,61633,3990.70,8900.80
ALEDO ISD,Texas,4807780,10,12,TX-184907,7368,446.67,780.83
ALICE ISD,Texas,4807800,6,7,TX-125901,4369,296.77,715.73
ALIEF ISD,Texas,4807830,46,48,TX-101903,40664,3172.30,6309.21
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,1,1,TX-101815,349,19.15,44.80
ALLEN ISD,Texas,4807890,25,25,TX-043901,21463,1347.74,2506.25
ALPINE ISD,Texas,4807950,3,3,TX-022901,974,81.82,171.79
ALTO ISD,Texas,4807980,3,3,TX-037901,556,53.15,100.23
ALVARADO ISD,Texas,4800011,7,7,TX-126901,3610,239.37,463.38
ALVIN ISD,Texas,4808090,33,36,TX-020901,28085,1874.69,3594.19
ALVORD ISD,Texas,4808100,3,3,TX-249901,789,61.96,119.97
AMARILLO ISD,Texas,4808130,55,55,TX-188901,30866,2224.57,4403.48
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,1,1,TX-084804,190,17.99,37.38
AMHERST ISD,Texas,4808160,1,1,TX-140901,128,19.42,32.15
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,4800113,1,1,TX-101819,560,33.06,62.69
ANAHUAC ISD,Texas,4808190,3,3,TX-036901,1397,103.57,207.68
ANDERSON-SHIRO CISD,Texas,4808230,2,2,TX-093901,887,72.75,128.75
ANDREWS ISD,Texas,4808280,6,6,TX-002901,4147,287.87,572.36
ANGLETON ISD,Texas,4808310,11,11,TX-020902,6782,448.92,993.54
ANNA ISD,Texas,4808340,8,9,TX-043902,4447,303.84,621.06
ANSON ISD,Texas,4808400,3,3,TX-127901,740,75.54,130.99
ANTHONY ISD,Texas,4808430,3,5,TX-071906,798,60.34,158.10
ANTON ISD,Texas,4808460,1,2,TX-110901,182,20.45,36.25
APPLE SPRINGS ISD,Texas,4808490,2,2,TX-228905,205,15.25,37.48
AQUILLA ISD,Texas,4808520,2,2,TX-109912,335,28.37,49.63
ARANSAS COUNTY ISD,Texas,4808550,4,4,TX-004901,3005,207.35,443.80
ARANSAS PASS ISD,Texas,4808580,4,5,TX-205901,1676,114.39,277.94
ARCHER CITY ISD,Texas,4808610,2,2,TX-005901,508,49.60,95.03
ARGYLE ISD,Texas,4808670,5,7,TX-061910,4338,285.98,522.15
ARISTOI CLASSICAL ACADEMY,Texas,4800019,3,3,TX-101803,1219,77.74,142.42
ARLINGTON CLASSICS ACADEMY,Texas,4800158,3,3,TX-220802,1526,96.29,163.78
ARLINGTON ISD,Texas,4808700,77,77,TX-220901,56311,3923.88,7890.21
ARP ISD,Texas,4808730,3,3,TX-212901,924,80.98,173.48
ARROW ACADEMY,Texas,4801416,4,4,TX-021805,609,38.10,84.01
ASPERMONT ISD,Texas,4800006,2,2,TX-217901,185,23.15,43.31
ATHENS ISD,Texas,4808870,5,5,TX-107901,2966,198.05,420.76
ATLANTA ISD,Texas,4808880,5,5,TX-034901,1911,148.42,343.48
AUBREY ISD,Texas,4808910,5,6,TX-061907,3112,191.90,325.30
AUSTIN ACHIEVE PUBLIC SCHOOLS,Texas,4801431,4,4,TX-227825,2312,150.77,348.02
AUSTIN DISCOVERY SCHOOL,Texas,4800265,1,1,TX-227821,430,37.20,55.76
AUSTIN ISD,Texas,4808940,125,128,TX-227901,74602,5238.78,10607.65
AUSTWELL-TIVOLI ISD,Texas,4809000,2,2,TX-196901,131,21.80,41.18
AVALON ISD,Texas,4809030,1,1,TX-070901,340,27.50,48.37
AVERY ISD,Texas,4809060,2,2,TX-194902,359,33.18,67.59
AVINGER ISD,Texas,4809090,1,1,TX-034902,137,17.74,28.77
AXTELL ISD,Texas,4809150,4,6,TX-161918,758,72.00,151.70
AZLE ISD,Texas,4809200,12,14,TX-220915,6889,455.33,899.97
BAIRD ISD,Texas,4809280,2,2,TX-030903,293,28.62,57.74
BALLINGER ISD,Texas,4809300,5,5,TX-200901,839,75.54,153.67
BALMORHEA ISD,Texas,4809330,1,1,TX-195902,148,19.88,40.00
BANDERA ISD,Texas,4809360,4,4,TX-010902,2304,151.02,307.18
BANGS ISD,Texas,4809390,3,3,TX-025901,871,75.15,142.99
BANQUETE ISD,Texas,4809410,3,4,TX-178913,859,81.47,153.40
BARBERS HILL ISD,Texas,4809450,9,11,TX-036902,6818,495.26,1032.60
BARTLETT ISD,Texas,4809540,1,3,TX-014902,395,32.99,69.08
BASIS TEXAS,Texas,4801438,7,12,TX-015834,3421,217.99,251.99
BASTROP ISD,Texas,4809570,14,14,TX-011901,11994,729.81,1331.30
BAY CITY ISD,Texas,4809630,5,5,TX-158901,3510,232.50,543.36
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,Texas,4800190,1,1,TX-101847,462,33.00,55.73
BEAUMONT ISD,Texas,4809670,29,29,TX-123910,16769,1013.74,2260.62
BECKVILLE ISD,Texas,4809690,2,2,TX-183901,686,64.45,105.99
BEEVILLE ISD,Texas,4809720,5,5,TX-013901,3010,190.36,456.99
BELLEVUE ISD,Texas,4809750,1,1,TX-039904,151,15.90,33.95
BELLS ISD,Texas,4809780,3,3,TX-091901,885,74.28,126.53
BELLVILLE ISD,Texas,4809810,6,6,TX-008901,2198,168.01,337.57
BELTON ISD,Texas,4809860,18,20,TX-014903,13326,933.75,1981.03
BEN BOLT-PALITO BLANCO ISD,Texas,4809870,2,2,TX-125902,497,39.71,84.55
BENAVIDES ISD,Texas,4899130,2,2,TX-066901,233,28.72,58.92
BENJAMIN ISD,Texas,4809980,1,1,TX-138904,133,16.84,26.05
BETA ACADEMY,TEXAS,4801446,2,2,TX-101870,1298,61.40,143.27
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,TEXAS,4801468,1,1,TX-152806,185,16.52,39.87
BEXAR COUNTY ACADEMY,Texas,4800077,1,1,TX-015809,261,19.80,46.19
BIG SANDY ISD,Texas,4810140,3,3,TX-230901,659,59.05,110.70
BIG SANDY ISD,Texas,4810170,1,1,TX-187901,532,42.62,87.72
BIG SPRING ISD,Texas,4810200,9,9,TX-114901,3634,269.25,578.14
BIG SPRINGS CHARTER SCHOOL,Texas,4800227,2,2,TX-193801,203,24.80,58.19
BIRDVILLE ISD,Texas,4810230,32,33,TX-220902,22505,1513.00,3038.06
BISHOP CISD,Texas,4810260,5,6,TX-178902,1460,109.39,210.02
BLACKWELL CISD,Texas,4800005,1,2,TX-177903,155,22.15,43.17
BLANCO ISD,Texas,4810320,3,3,TX-016902,1063,78.15,155.82
BLAND ISD,Texas,4810350,3,3,TX-116915,761,61.00,120.10
BLANKET ISD,Texas,4810380,1,1,TX-025904,147,20.03,31.95
