County #,Confirmed Deaths 09/28/20,Confirmed Deaths 10/30/20,Confirmed Deaths 01/29/21,Confirmed Cases 09/28/20,Confirmed Cases 10/30/20,Confirmed Cases 01/29/21,County Population
0,0,0,0,0,0,0,0
48001,37,44,99,2840,2970,5804,57735
48003,10,11,45,425,667,1649,18705
48005,86,94,236,2144,2317,7121,86715
48007,18,18,33,323,351,979,23510
48009,1,1,11,87,161,745,8553
48011,1,1,6,13,27,139,1887
48013,34,38,125,1144,1292,4395,51153
48015,10,10,27,499,516,1551,30032
48017,5,5,16,219,311,762,7000
48019,8,9,23,157,188,966,23112
48021,31,35,70,1818,2014,4937,88723
48023,1,3,12,19,44,284,3509
48025,37,40,59,1820,1870,3221,32565
48027,92,104,318,5473,6534,18154,362924
48029,1376,1467,2774,46829,53208,166022,2003554
48031,5,6,16,144,162,362,11931
48033,0,0,1,1,2,17,654
48035,8,14,28,324,414,1037,18685
48037,61,95,168,1377,1997,5754,93245
48039,178,191,341,11395,12436,28149,374264
48041,67,86,199,6332,7626,18374,229211
48043,5,5,12,218,250,827,9203
48045,1,1,4,12,24,120,1546
48047,26,26,31,317,361,714,7093
48049,26,29,99,570,698,3764,37864
48051,6,6,30,339,475,1176,18443
48053,12,15,50,729,1085,2345,48155
48055,36,39,70,1523,1721,2891,43664
48057,8,9,14,821,938,1550,21290
48059,4,6,35,88,137,1061,13943
48061,957,1008,1256,22698,24221,34691,423163
48063,12,14,36,355,405,1052,13094
48065,0,1,12,23,54,346,5926
48067,18,30,74,372,547,1609,30026
48069,5,7,28,257,318,847,7530
48071,8,10,21,1309,1571,3721,43837
48073,33,46,123,1547,1647,3769,52646
48075,0,0,16,69,124,1310,7306
48077,2,4,15,90,129,939,10471
48079,1,3,13,52,116,222,2853
48081,3,8,11,53,129,436,3387
48083,4,5,26,72,96,634,8175
48085,159,205,651,13770,18362,71865,1034730
48087,0,0,9,18,21,249,2920
48089,4,4,22,486,504,1347,21493
48091,103,107,242,2714,2878,8073,156209
48093,5,5,45,300,373,1143,13635
48095,2,2,6,130,144,264,2726
48097,6,9,57,440,570,3126,41257
48099,13,15,66,1816,1986,4505,75951
48101,3,4,7,27,40,179,1398
48103,2,4,11,72,77,500,4797
48105,7,7,15,164,166,510,3464
48107,3,11,25,87,116,428,5737
