Agency Name,State,NCES Agency ID,County #,Total Public Schools 2018-2019,Total Operational Public Schools 2018-2019,Total Students 2018-2019,FTE Teachers 2018-2019,Total Staff 2018-2019,District #,% Operational Schools 2018-2019,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,% Operational Schools 2020-2021,Grade 3 2020-2021,Grade 3 2018-2019,Grade 4 2020-2021,Grade 4 2018-2019,Grade 5 2020-2021,Grade 5 2018-2019,Grade 6 2020-2021,Grade 6 2018-2019,Grade 7 2020-2021,Grade 7 2018-2019,Grade 8 2020-2021,Grade 8 2018-2019,School Name,State Name,State Agency ID 2020-2021,State Agency ID 2018-2019,Free Lunch 2020-2021,Free Lunch 2018-2019,Reduced-price Lunch 2020-2021,Reduced-price Lunch 2018-2019,Asian or Asian/Pacific Islander Students 2020-2021,Asian or Asian/Pacific Islander Students 2018-2019,Hispanic Students 2020-2021,Hispanic Students 2018-2019,Black or African American Students 2020-2021,Black or African American Students 2018-2019,White Students 2020-2021,White Students 2018-2019,Total Race/Ethnicity 2020-2021,Total Race/Ethnicity 2018-2019
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,48113,2,2,2084,115.6,218.4,57816,1,2,2,1383,76.79,170.87,1,124,154,108,155,86,151,86,151,89,99,80,88,GENESIS CAMPUS PRE-K THRU 5,Texas,TX-057816,TX-057816,680,785,52,59,2,1,27,47,720,1109,1,6,769,1193
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,48113,2,2,2084,115.6,218.4,57816,1,2,2,1383,76.79,170.87,1,124,154,108,155,86,151,86,151,89,99,80,88,QUEST CAMPUS PRE-K THRU 8,Texas,TX-057816,TX-057816,550,423,35,51,1,0,25,42,577,842,2,1,614,891
A+ ACADEMY,Texas,4800203,48113,2,2,1409,86.58,192.28,57829,1,2,2,1456,92.87,213.39,1,91,106,86,104,103,116,130,126,119,109,124,108,A+ ACADEMY EL,Texas,TX-057829,TX-057829,537,641,118,105,5,6,743,730,29,38,17,44,797,823
A+ ACADEMY,Texas,4800203,48113,2,2,1409,86.58,192.28,57829,1,2,2,1456,92.87,213.39,1,91,106,86,104,103,116,130,126,119,109,124,108,A+ SECONDARY SCHOOL,TEXAS,TX-057829,TX-057829,527,455,83,69,1,1,626,546,16,15,12,17,659,586
A+ UNLIMITED POTENTIAL,TEXAS,4801453,48201,2,2,180,7.67,10.34,101871,1,1,1,152,6.91,13.61,1,,,,,,,49,64,44,67,59,49,A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,TX-101871,TX-101871,,49,,11,,0,,37,,45,,19,,106
A+ UNLIMITED POTENTIAL,TEXAS,4801453,48201,2,2,180,7.67,10.34,101871,1,1,1,152,6.91,13.61,1,,,,,,,49,64,44,67,59,49,A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,TX-101871,TX-101871,91,62,14,5,4,0,64,14,68,59,14,0,152,74
ABBOTT ISD,Texas,4807380,48217,2,1,277,24.25,40,109901,0.5,2,1,274,25.13,41.72,0.5,17,19,20,19,22,15,24,19,16,17,20,18,ABBOTT SCHOOL,Texas,TX-109901,TX-109901,62,46,16,24,0,0,44,36,4,2,219,232,274,277
ABBOTT ISD,Texas,4807380,48217,2,1,277,24.25,40,109901,0.5,2,1,274,25.13,41.72,0.5,17,19,20,19,22,15,24,19,16,17,20,18,HILL COUNTY JJAEP,Texas,TX-109901,TX-109901,,,,,,,,,,,,,,
ABERNATHY ISD,Texas,4807410,48189,4,3,780,68,124.97,95901,0.75,4,3,810,72.55,124.29,0.75,48,60,56,54,61,48,52,63,53,61,61,64,ABERNATHY DAEP,Texas,TX-095901,TX-095901,,,,,,,,,,,,,,
ABERNATHY ISD,Texas,4807410,48189,4,3,780,68,124.97,95901,0.75,4,3,810,72.55,124.29,0.75,48,60,56,54,61,48,52,63,53,61,61,64,ABERNATHY EL,Texas,TX-095901,TX-095901,186,183,22,12,0,1,200,201,9,6,178,139,392,354
